neuron_id,normalized_soma_depth,layer,molecular_identity
20180725_sample_9,0.0318864554488677,L1,Lamp5
20191106_sample_5,0.0350607375718524,L1,Lamp5
20190611_sample_15,0.0368459837877671,L1,Lamp5
20191101_sample_1,0.0380914142467036,L1,Lamp5
20190515_sample_11,0.0407567410460676,L1,Lamp5
20190617_sample_5,0.0447515260457626,L1,Sncg
20190910_sample_1,0.0457860416221809,L1,Lamp5
20190528_sample_7,0.0463627662120124,L1,Lamp5
20190603_sample_1,0.0483848539799025,L1,Lamp5
20190128_sample_6,0.0488730153811191,L1,Lamp5
20190509_sample_3,0.0490924196268976,L1,Lamp5
20191104_sample_1,0.0500823894230145,L1,Sst
20190607_sample_3,0.0506467196509272,L1,Lamp5
20190618_sample_7,0.0523076121683567,L1,Lamp5
20190516_sample_3,0.0538850100497196,L1,Lamp5
20190424_sample_7,0.0541205199033624,L1,Lamp5
20190508_sample_3,0.0556685906895919,L1,Lamp5
20190617_sample_1,0.0561617246982541,L1,Lamp5
20190515_sample_15,0.0576880166751021,L1,Lamp5
20190625_sample_6,0.0591317731295957,L1,Lamp5
20190614_sample_3,0.0601967543302826,L1,Lamp5
20190509_sample_5,0.061893378731612,L1,Lamp5
20190904_sample_3,0.0620599766270985,L1,Vip
20190508_sample_1,0.0652376649405113,L1,Lamp5
20190610_sample_3,0.0652790511884272,L1,Lamp5
20190618_sample_8,0.0702277279689793,L2/3,Lamp5
20191114_sample_1,0.0717466137843298,L2/3,Lamp5
20190611_sample_3,0.0719389852448549,L2/3,Lamp5
20190603_sample_6,0.074271652109153,L2/3,Lamp5
20190620_sample_1,0.0745560809585582,L2/3,Lamp5
20190625_sample_4,0.0778003885156901,L2/3,Vip
20190610_sample_10,0.0852514919011082,L2/3,Pvalb
20190219_sample_3,0.0866385327232256,L2/3,Sncg
20190513_sample_5,0.0871114491345192,L2/3,Lamp5
20190503_sample_1,0.0932749256256993,L2/3,Vip
20190715_sample_1,0.094684152216524,L2/3,Lamp5
20190506_sample_5,0.0951767636112242,L2/3,Vip
20190219_sample_1,0.0954454907893023,L2/3,Vip
20190513_sample_1,0.0959775214433599,L2/3,Lamp5
20190619_sample_3,0.0963401051565112,L2/3,Pvalb
20190619_sample_5,0.0967414970227169,L2/3,Pvalb
20190611_sample_14,0.0977158651563454,L2/3,Sncg
20190128_sample_2,0.0979276971715535,L2/3,Pvalb
20190610_sample_4,0.1005377332475411,L2/3,Pvalb
20200225_sample_5,0.1013766232368405,L2/3,Sncg
20180417_sample_1,0.1030695832208119,L2/3,Vip
20190515_sample_6,0.104603082203948,L2/3,Vip
20190528_sample_9,0.1059065112293239,L2/3,Vip
20190509_sample_2,0.1059411814560556,L2/3,Vip
20190610_sample_12,0.1070120144388772,L2/3,Pvalb
20190507_sample_4,0.1086104931623864,L2/3,Vip
20190619_sample_4,0.1097704614429664,L2/3,Pvalb
20190501_sample_1,0.1142933978754874,L2/3,Vip
20190612_sample_6,0.114981985225373,L2/3,Pvalb
20190612_sample_2,0.1156124408680142,L2/3,Pvalb
20190403_sample_7,0.115752203624839,L2/3,Sst
20190430_sample_3,0.11621749166672,L2/3,Vip
20181127_sample_3,0.1185135081140012,L2/3,Sst
20190604_sample_4,0.1188334606548983,L2/3,Lamp5
20190619_sample_6,0.1205183434483631,L2/3,Lamp5
20190221_sample_4,0.1214265889536497,L2/3,Sst
20190610_sample_8,0.1222248620680552,L2/3,Pvalb
20180912_sample_2,0.1227848430839292,L2/3,Pvalb
20190605_sample_2,0.1261864109595341,L2/3,Vip
20180911_sample_3,0.1268645647936266,L2/3,Sst
20180829_sample_6,0.1329153961518505,L2/3,Sst
20190606_sample_7,0.1349728279358993,L2/3,
20190108_sample_5,0.1359387335010587,L2/3,Vip
20190503_sample_3,0.1398914442392703,L2/3,Vip
20190108_sample_1,0.1444796312168005,L2/3,Pvalb
20190201_sample_3,0.1457965221253463,L2/3,Pvalb
20180410_sample_9,0.146073711825985,L2/3,Pvalb
20190327_sample_7,0.1464755923157444,L2/3,Vip
20190715_sample_4,0.1469622978365889,L2/3,Lamp5
20190606_sample_3,0.1470994747857679,L2/3,Pvalb
20190408_sample_6,0.1488500346877662,L2/3,Sst
20180904_sample_2,0.1504104798316588,L2/3,Pvalb
20190610_sample_16,0.1504312744522318,L2/3,Lamp5
20190201_sample_2,0.1505783805345034,L2/3,Pvalb
20190513_sample_3,0.1516102049351735,L2/3,Vip
20180918_sample_2,0.1535916824196597,L2/3,Vip
20180904_sample_7,0.154302712457001,L2/3,Pvalb
20190408_sample_2,0.1555961104029297,L2/3,Sst
20190605_sample_6,0.1587820482884229,L2/3,Vip
20180621_sample_7,0.1598377765849585,L2/3,Pvalb
20190204_sample_7,0.1610004797489043,L2/3,Pvalb
20180822_sample_6,0.1610238973691191,L2/3,Pvalb
20190501_sample_3,0.1613712374581939,L2/3,Vip
20190925_sample_5,0.1618382994352876,L2/3,Sst
20190610_sample_1,0.1628311820652174,L2/3,Sst
20180822_sample_7,0.1646607987545656,L2/3,Pvalb
20190117_sample_1,0.1660844613561225,L2/3,Vip
20190219_sample_7,0.1665018534729652,L2/3,Vip
20180817_sample_3,0.1688833398044455,L2/3,Pvalb
20190212_sample_1,0.1700451430938454,L2/3,Sst
20180820_sample_5,0.1704190400653736,L2/3,Sst
20190506_sample_1,0.1705940449984365,L2/3,Vip
20180822_sample_3,0.1714660725980364,L2/3,Pvalb
20190131_sample_6,0.1715777182498798,L2/3,Sst
20180918_sample_1,0.1718024482904178,L2/3,Vip
20180829_sample_7,0.172181023693358,L2/3,Sst
20180711_sample_1,0.1722006570561383,L2/3,Pvalb
20181127_sample_7,0.1730260297674798,L2/3,Sst
20190218_sample_4,0.1779454555174547,L2/3,Sst
20180829_sample_2,0.1795313024441806,L2/3,Sst
20180717_sample_4,0.1830052950235217,L2/3,Pvalb
20190430_sample_1,0.1897320795996214,L2/3,Vip
20190122_sample_5,0.1921859627982886,L2/3,Pvalb
20190131_sample_5,0.193857020128669,L2/3,Sst
20190507_sample_2,0.1961407469950384,L2/3,Vip
20190204_sample_5,0.1987811362427911,L2/3,Sst
20181009_sample_5,0.2023082865474169,L2/3,Sst
20190205_sample_4,0.2099171435893055,L2/3,Sst
20190513_sample_4,0.2106700273051879,L2/3,Vip
20190507_sample_5,0.2110769744147378,L2/3,Vip
20190130_sample_10,0.211963306736145,L2/3,Sst
20190506_sample_7,0.214344564788273,L2/3,Vip
20190715_sample_11,0.2147448015122873,L2/3,Lamp5
20180905_sample_2,0.2159161817037797,L2/3,Sst
20180828_sample_2,0.2180107608442812,L2/3,Pvalb
20190204_sample_15,0.2185935689772007,L2/3,Sst
20190212_sample_5,0.2193857199840446,L2/3,Sst
20181011_sample_3,0.2199792960662525,L2/3,Sst
20190612_sample_7,0.2207545450647457,L2/3,Lamp5
20190828_sample_7,0.2221984830680482,L2/3,Vip
20180904_sample_9,0.2252298240360095,L2/3,Pvalb
20190204_sample_9,0.2257244229100624,L2/3,Pvalb
20190318_sample_3,0.2270820677485608,L2/3,Sst
20181009_sample_3,0.2273623772791023,L2/3,Sst
20190513_sample_2,0.2274487756121939,L2/3,Vip
20180820_sample_4,0.2275794132728794,L2/3,Sst
20180515_sample_1,0.2288564545334789,L2/3,Pvalb
20190528_sample_4,0.2307454165748407,L2/3,Vip
20180817_sample_2,0.2328655989904149,L2/3,Pvalb
20190227_sample_5,0.2374639754514731,L2/3,Sst
20190218_sample_3,0.2416200330364795,L2/3,Sst
20180711_sample_3,0.2428813638052768,L2/3,Sst
20180404_sample_2,0.2458408875813863,L2/3,Pvalb
20181004_sample_8,0.2480741611176393,L2/3,Sst
20181127_sample_5,0.2497472883521422,L2/3,Sst
20190325_sample_1,0.2507730645641328,L2/3,Lamp5
20190528_sample_6,0.2519817439346625,L2/3,Vip
20190430_sample_6,0.2533117395456999,L2/3,Vip
20181009_sample_7,0.2537664489106992,L2/3,Sst
20180306_sample_1,0.255271406595186,L2/3,Pvalb
20180820_sample_1,0.2556392940439308,L2/3,Sst
20180820_sample_7,0.2581939009233866,L2/3,Sst
20180720_sample_5,0.258327296584339,L2/3,Lamp5
20191107_sample_3,0.2626959842501008,L2/3,Sst
20180411_sample_4,0.2659340711548831,L2/3,Pvalb
20190729_sample_3,0.2682061458897107,L2/3,Sst
20180828_sample_6,0.2683193151169153,L2/3,Pvalb
20180510_sample_2,0.2693747128921555,L2/3,Pvalb
20190205_sample_6,0.2700140908496637,L2/3,Sst
20191003_sample_4,0.2741614725298464,L2/3,Sst
20190205_sample_2,0.2755291993964094,L2/3,Sst
20190617_sample_4,0.2759874769907069,L2/3,Sst
20190515_sample_13,0.2807113793261098,L2/3,Vip
20190318_sample_4,0.2832804505045307,L2/3,Sst
20190718_sample_8,0.2854917203385747,L2/3,Vip
20191107_sample_4,0.2913389199426041,L5,Sst
20181116_sample_5,0.2921364824524771,L5,Pvalb
20190227_sample_3,0.2939128241403324,L5,Sst
20180628_sample_2,0.2962333355664233,L5,Pvalb
20190731_sample_5,0.2968328598406184,L5,Pvalb
20181003_sample_8,0.2989660829962377,L5,Sst
20181109_sample_5,0.3039539445540009,L5,Sst
20190715_sample_7,0.3073037230781424,L5,Vip
20181004_sample_5,0.3073347355480643,L5,Sst
20190131_sample_3,0.3085331193660927,L5,Pvalb
20181109_sample_7,0.3092559747322222,L5,Sst
20190221_sample_2,0.3119883572857923,L5,Sst
20190613_sample_7,0.3133810184573367,L5,Sst
20180926_sample_7,0.3160159229595728,L5,Pvalb
20190613_sample_9,0.3217907116897335,L5,Sst
20180828_sample_3,0.3219022275634147,L5,Pvalb
20181002_sample_10,0.3224866176081893,L5,Pvalb
20180904_sample_5,0.322599395489421,L5,Pvalb
20180411_sample_5,0.3286081298141861,L5,Pvalb
20180822_sample_1,0.3327123184795245,L5,Pvalb
20180704_sample_5,0.3379835627308103,L5,Pvalb
20190910_sample_2,0.3381642512077294,L5,Vip
20190214_sample_2,0.3397712468751608,L5,Pvalb
