neuron_id,dendrite_vertical_extent,axon_vertical_extent,spike_frequency
20180725_sample_9,0.07698,0.10553,32.183908045977006
20191106_sample_5,0.09627,0.13838,87.97653958944282
20190611_sample_15,0.16305,0.32750999999999997,22.27667631989307
20191101_sample_1,0.12298,0.2317,29.055690072639223
20190515_sample_11,0.12572,0.20721,19.529837251356238
20190617_sample_5,0.17167000000000002,0.34385000000000004,18.100639555930975
20190910_sample_1,0.25372,0.13866,28.981199375789547
20190528_sample_7,0.14754,0.26339,27.06453851492019
20190603_sample_1,0.176,0.52138,32.34152652005174
20190128_sample_6,0.11846999999999999,0.17094,191.81585677749365
20190509_sample_3,0.13178,0.3147,39.367359624283445
20191104_sample_1,0.18541,0.18522999999999998,40.0
20190607_sample_3,0.09031,0.10690999999999999,31.38075313807531
20190618_sample_7,0.18549000000000002,0.22183,
20190516_sample_3,0.15874000000000002,0.22177000000000002,39.460020768431974
20190424_sample_7,0.23689,0.49047,
20190508_sample_3,0.11616,0.13051999999999997,36.75469643343316
20190617_sample_1,0.1585,0.09695000000000001,40.56246619794483
20190515_sample_15,0.20519,0.35252,43.535045711798
20190625_sample_6,0.12035,0.31303000000000003,28.472645922310345
20190614_sample_3,0.1412,0.51776,30.399536768963525
20190509_sample_5,0.16978000000000001,0.14595,
20190904_sample_3,0.13373000000000002,0.28747,17.88604037134827
20190508_sample_1,0.29875999999999997,0.14475,31.65892781764457
20190610_sample_3,0.16201999999999997,0.20335,47.50757367116497
20190618_sample_8,0.21589,0.307,22.493814201094697
20191114_sample_1,0.19533,0.36373,22.926042285811324
20190611_sample_3,0.18061000000000002,0.37772,31.208821693598725
20190603_sample_6,0.17908,0.17205,22.212350066637047
20190620_sample_1,0.15627000000000002,0.27801,34.95305325200466
20190625_sample_4,0.17151999999999998,0.47912,34.047382607462055
20190610_sample_10,0.17332,0.11891,65.6084656084656
20190219_sample_3,0.16883,0.42389,32.0764131442013
20190513_sample_5,0.20675,0.26154,16.95513952666902
20190503_sample_1,0.12934,0.21002,28.73062859132857
20190715_sample_1,0.10317,0.25956,18.467220683287163
20190506_sample_5,0.19025,0.33244,27.403035413153457
20190219_sample_1,0.15269,0.24144,43.48426283821093
20190513_sample_1,0.26972,0.50533,
20190619_sample_3,0.20436,0.27972,55.393793054470564
