neuron_id,dendrite_vertical_extent,axon_vertical_extent,spike_frequency,spike_frequency_adaptation
601506507,0.68382,0.43901,90.4860393,41.64875931
601790961,0.41799,0.64276,,
601803754,0.23466,0.22875,11.63331782,99.96390467
601808698,0.20923,0.56448,30.6493279,96.84899343
601810307,0.26551,0.35416,76.60772703,26.39422495
601811091,0.43309,0.87882,65.02496119,31.95048604
602231708,0.14537,0.5446,55.89714925,76.73829611
602535278,0.27876,0.42738,64.63450231,54.05471003
604646725,0.5977,0.6725,91.2825194,39.50358275
605060256,0.71385,0.29038,73.13505607,45.55722892
605160536,0.33164,0.50885,48.84720594,85.2053471
606098116,0.27154,0.52861,51.98679987,20.23481514
606271263,0.22793,0.26121,86.83786131,22.76003122
606308411,0.28655,0.27075,73.56959684,38.015094
614728680,0.36648,0.62179,136.6120219,18.51239669
623326230,0.22855,0.36019,43.21707939,33.40221442
623415197,0.20496,0.32736,116.3265306,10.41550033
623434306,0.21018,0.5569,64.21942327,41.59285828
626153003,0.41327,0.30158,27.30748225,96.36613916
627881581,0.35529,0.49494,77.67421216,56.32197191
637846989,0.22276,0.32115,,
638212024,0.21333,0.2949,,
639004612,0.46797,0.4221,60.56808688,51.70620546
639013022,0.39823,0.2671,35.84412924,87.16750767
639674270,0.48632,0.26749,37.05964423,65.55611206
639708328,0.48542,0.35731,39.43736033,31.48075985
639797308,0.27883,0.48576,74.97857755,26.48407382
639809582,0.46332,0.65589,33.75812305,52.9029337
639818525,0.29066,0.4942,,
639841063,0.35363,0.54618,25.30933633,86.16624246
639862877,0.56331,0.65802,30.49245312,80.95616606
639881631,0.25347,0.61543,29.72515663,99.9677359
639893239,0.3375,0.7054,58.35035219,57.95779366
639962984,0.25012,0.51073,57.31510571,36.22908666
640061596,0.45823,0.21433,16.90902942,73.98054109
640111844,0.39352,0.40102,47.12535344,45.85202817
640280740,0.49848,0.29047,27.69256987,91.94337555
642124659,0.2882,0.30288,25.13720726,14.33025941
643021973,0.55895,0.56886,79.41550191,59.23152606
643536919,0.62177,0.35404,246.7105263,27.27272727
643702874,0.3041,0.58186,,
643727497,0.2413,0.2119,27.49925964,45.58023294
643754730,0.49369,0.41079,17.48481007,79.30366857
644571405,0.16513,0.21138,125.7786296,1.764791481
644920227,0.19701,0.33026,54.23833876,94.10818161
644941196,0.21185,0.28079,,
644994103,0.17482,0.48436,20.55169894,29.08800108
645012440,0.22629,0.67417,54.18924552,62.20178781
645057881,0.44001,0.92977,28.86836028,81.77790491
645169930,0.17058,0.26859,31.38731952,8.644671266
645322005,0.39469,0.69122,,
645355846,0.35733,0.26102,97.14356579,16.14318578
646805498,0.33824,0.73645,95.78153658,30.07629551
646852171,0.12836,0.37724,100.5293176,26.99551264
647045788,0.52514,0.75786,,
648139266,0.48557,0.62379,55.82953382,42.08809907
648582997,0.26613,0.13544,33.66701082,62.20371722
649387261,0.25808,0.77572,66.71114076,58.73742612
652299236,0.41844,0.5159,93.59011688,27.77096247
652300499,0.18043,0.53658,19.84652024,-0.299654645
652305423,0.1712,0.358,21.08014672,14.99898065
652306478,0.45246,0.44759,,
652516963,0.24112,0.45903,170.0680272,54.69522241
652533530,0.47652,0.67157,34.71318233,31.85146659
652812484,0.22784,0.36593,26.82643298,-17.31727679
652958762,0.24604,0.60564,,
653327513,0.44228,0.42262,37.11952487,-112.0516608
653699672,0.24426,0.57238,52.85412262,68.75485043
656156755,0.49396,0.533,28.69440459,86.49844687
656705176,0.41506,0.46468,23.8701464,37.95771016
656706125,0.28342,0.51583,73.62494586,20.86990251
656901554,0.2945,0.28926,18.52537977,95.7127586
657184390,0.57873,0.44686,46.45606583,94.34599822
657185355,0.46713,0.65384,38.22467615,54.45232666
657442490,0.14739,0.28422,29.48246927,97.11040911
657454163,0.21902,0.48201,13.32741004,95.18532315
657661669,0.24314,0.9623,77.20020587,48.61088422
657661984,0.21608,0.45276,20.98085497,97.14506583
657675492,0.16573,0.16967,51.82850983,76.91368698
657857340,0.23032,0.73628,51.58627805,41.8701562
657858349,0.17129,0.50778,36.95701615,92.62166342
657983207,0.2957,0.5979,36.16898148,81.06389038
657984709,0.18848,0.24622,167.7852349,-6.466512702
657985196,0.38119,0.71783,98.65175929,23.36168504
657999088,0.43126,0.50098,57.99262665,59.69086595
658012080,0.35955,0.45398,63.75653504,53.55580758
658447323,0.15754,0.46117,48.39099927,82.77648508
659012847,0.34117,0.3451,84.9617672,11.37494932
659395808,0.20789,0.32886,,
659405820,0.28328,0.61441,72.14709763,41.13391809
659405868,0.37715,0.47295,15.03565598,77.85464987
659413418,0.2616,0.24642,141.4427157,26.36615882
659697295,0.13357,0.34034,45.36082474,39.80052917
660050258,0.15413,0.45015,36.32212536,99.28445664
661189529,0.3841,0.32411,43.1816219,86.53387361
661318431,0.32877,0.669,64.52150023,28.92769129
661319074,0.403,0.55025,35.80806875,87.87881583
661422439,0.59966,0.41337,25.72788474,89.18020479
661492805,0.17077,0.5646,47.85684561,67.13541896
662580082,0.31557,0.29804,,
663193112,0.23198,0.34273,89.12655971,29.0107753
666141992,0.34398,0.73005,113.6409757,22.35214971
667473785,0.32809,0.265,65.84536958,47.27799503
667492234,0.12385,0.22058,36.29531577,18.8290847
668176228,0.38395,0.6741,39.12745769,50.73427347
668337999,0.39361,0.76535,83.20142863,38.06936304
668464797,0.29728,0.20073,67.24384299,40.62428999
669047778,0.40734,0.51966,40.34998301,36.63806245
669072736,0.51585,0.42009,96.85130234,10.58972579
669074640,0.29497,0.43592,69.64376161,73.98734902
669088423,0.35779,0.59338,,
669165397,0.49423,0.4409,27.73865916,64.19772357
669523148,0.18713,0.44344,47.60327842,21.22259938
669825289,0.19582,0.53014,89.63188394,27.26306687
669838950,0.29978,0.29106,,
670091720,0.24415,0.40491,103.1400413,42.98491613
670340941,0.37337,0.2128,95.26570849,41.36725369
673132928,0.33232,0.29808,27.61032626,98.68152396
673395815,0.27006,0.33111,64.21144206,38.04115264
673427380,0.23045,0.60811,18.72258479,99.9987137
674069192,0.13954,0.58343,28.53677677,63.58732174
674126167,0.3113,0.40044,92.14136533,16.44451369
674495385,0.37738,0.65715,36.71071953,83.70369064
679457550,0.35361,0.46715,40.07480631,57.00201144
679899997,0.2811,0.49054,41.60599126,78.85199563
679932490,0.36763,0.46087,120.8471591,18.68905419
680027413,0.35573,0.45584,74.89514679,47.22409396
680048186,0.28857,0.30288,102.6736211,12.60692605
680108584,0.22887,0.27119,86.41038611,15.21554299
681793778,0.30789,0.62437,73.68110816,80.10259679
682332013,0.18378,0.19625,81.40942679,25.42572948
682454193,0.24317,0.59005,82.07485227,28.56072522
683899155,0.20523,0.51445,38.65315238,74.63731585
685624703,0.17726,0.63765,65.37326023,43.53435653
685636842,0.2561,0.585,35.82265678,61.85894733
685707621,0.46291,0.44265,116.2980495,13.94887262
687907602,0.18932,0.50048,33.47915365,76.86925855
688115867,0.26885,0.28979,51.56189576,66.72174059
688145929,0.38609,0.37009,76.39261676,21.61630395
688958418,0.28041,0.4623,25.90270942,81.68502963
689030611,0.25218,0.27185,101.3317892,25.13020769
689098357,0.23771,0.26945,,
689211404,0.2363,0.28322,91.62467203,16.56123252
689280134,0.30465,0.31348,102.9950974,9.08645105
689656936,0.16911,0.23124,68.00758388,67.4342596
691511791,0.41476,0.24736,40,90.79734228
691665864,0.17862,0.36266,43.35618135,43.76413212
691685873,0.22923,0.40109,32.85438935,28.36549793
691719142,0.42826,0.33515,52.62762198,64.78896475
692015490,0.19879,0.67648,90.45308774,24.89442308
692044280,0.12749,0.52632,35.19085866,71.83030899
692083084,0.20727,0.2867,,
692286150,0.53285,0.40885,123.7623762,34.73690246
692310663,,,,
692565557,0.31211,0.77574,59.0535147,32.55539073
692777680,0.26866,0.461,202.9769959,41.41630901
692821749,0.41557,0.32022,,
692824134,0.33466,0.28461,71.85087863,29.13675508
692846027,0.37971,0.30076,119.3444014,23.7971537
693009119,0.23433,0.80849,60.3437513,60.5309379
693085460,0.28706,0.53789,18.57182654,97.73788944
693265371,0.43981,0.28798,43.88801626,90.58417746
694146546,0.63466,0.33399,42.51248804,77.28439535
694162255,0.43887,0.24761,69.62077156,34.16412245
694183636,0.31439,0.66372,170.0680272,67.18137704
694220357,0.33535,0.43447,107.522435,22.98863765
694419620,0.23081,0.36754,108.4798966,0.316530362
694437359,0.12944,0.22463,94.3822069,17.30470206
694689662,0.46278,0.61503,62.69199423,70.514886
694734857,0.45824,0.43768,61.9933238,56.47406488
695316536,0.54559,0.62886,24.62043496,99.99969159
696115308,0.3158,0.40165,89.74358974,44.08320306
697502029,0.39326,0.70656,54.75067385,51.39432841
697787349,0.47128,0.56135,124.527832,21.08832754
697795277,0.26958,0.37832,97.69600261,22.48582493
697799017,0.39252,0.33376,41.81670345,87.50159746
697810838,0.31871,0.59763,73.94626571,94.10615042
698042345,0.33198,0.48332,104.4611036,25.02382319
698086962,0.26364,0.52265,87.56567426,17.03010728
698570301,0.30357,0.48972,109.6847579,16.47801092
698586385,0.24093,0.31371,102.3918742,17.74269428
699448311,0.36607,0.44112,102.0366516,3.429802098
699495755,0.32303,0.3903,92.10741772,12.11077239
700390241,0.47239,0.56345,44.56327986,50.16510443
700413526,0.38736,0.23865,47.76540954,56.92425026
701075567,0.48936,0.58706,51.38112463,50.94894143
701140434,0.41167,0.57751,114.4450456,30.72894824
702051128,0.24533,0.63896,59.83928877,30.80805043
703283610,0.28248,0.35363,63.63212149,27.18313943
703565379,0.33259,0.45833,,
704047023,0.11831,0.57511,63.38742394,39.42679122
705217315,0.30854,0.33056,33.82622983,96.24255773
705278421,0.19321,0.45783,58.28961612,24.72768977
705570328,0.15219,0.49343,75.5626353,57.9277293
705817510,0.22989,0.62837,32.03661327,98.55913713
707162377,0.30823,0.41243,69.2346425,39.74784108
707179690,0.23881,0.28795,36.1072172,68.64418919
707403326,0.46145,0.61046,41.60945367,83.04257742
707424705,0.26666,0.27827,71.70955581,46.59568332
707666779,0.20434,0.3922,32.50270856,27.76044655
708221965,0.28522,0.58559,100.7525599,10.73969795
709153201,0.39104,0.33523,87.1586287,33.34397418
709219898,0.19438,0.21869,59.38998006,45.19875881
710338421,0.36617,0.38906,53.21108428,35.31927361
710730520,0.32375,0.5854,97.03125645,22.11267248
710743304,0.31943,0.57874,,
710784375,0.19923,0.32432,57.48839586,44.78088584
710920450,0.20842,0.36197,67.28343146,55.83616757
711212623,0.18582,0.61771,79.58858822,27.96048334
711464852,0.441,0.49266,34.83835006,82.42803547
711483278,0.21234,0.49617,34.8553503,-58.88253014
711528753,0.20358,0.42543,39.4682177,62.94514562
711571947,0.24188,0.47908,77.34581722,37.19811104
711770582,0.38122,0.46978,27.92019899,73.37157402
711903629,0.22066,0.72552,48.43940862,68.18725584
713132614,0.36186,0.44133,72.74087622,48.88091594
713442456,0.41389,0.4529,72.38883144,41.77942209
714046701,0.29288,0.36415,113.7915339,21.55198167
714228701,0.25471,0.47962,68.24385805,19.97594027
714485370,0.46958,0.68683,,
714601733,0.25176,0.38883,86.58722632,15.85680894
714755043,0.355,0.28079,,
714936352,0.22827,0.26008,43.05890458,84.78442126
715159651,0.37126,0.45594,53.84238864,73.027131
716298521,0.19225,0.51781,24.65989889,99.98603434
716832846,0.2055,0.46728,29.62336014,22.57135149
717637005,0.1683,0.12814,47.26507111,34.10532959
717675736,0.13397,0.464,33.2594235,19.05599431
718135969,0.26705,0.44644,71.97795418,28.40435182
718188717,0.34369,0.22922,100.634301,27.37112418
718195284,0.44185,0.54038,,
718202813,0.39159,0.3396,53.61709148,51.07626193
