neuron_id,normalized_soma_depth,layer,met_cluster,t_cluster
601506507,0.361014514,L2/3,Vip-MET-2,Vip Gpc3 Slc18a3
601790961,0.621829352,L5,,
601803754,0.164239963,L2/3,Sst-MET-3,Sst Calb2 Pdlim5
601808698,0.483030289,L4,Sst-MET-8,Sst Hpse Cbln4
601810307,0.295656295,L2/3,Sst-MET-3,Sst Calb2 Necab1
601811091,0.766594576,L6,Sst-MET-13,Sst Esm1
602231708,0.589005051,L5,Sst-MET-4,Sst Calb2 Pdlim5
602535278,0.397545508,L4,Sst-MET-3,Sst Calb2 Pdlim5
604646725,0.3044429,L2/3,Vip-MET-1,Vip Pygm C1ql1
605060256,0.416261743,L4,Vip-MET-4,Vip Lmo1 Myl1
605160536,0.222147422,L2/3,Vip-MET-5,Vip Crispld2 Kcne4
606098116,0.281891345,L2/3,Pvalb-MET-4,Pvalb Tpbg
606271263,0.17944989,L2/3,Pvalb-MET-5,Pvalb Vipr2
606308411,0.171680017,L2/3,Pvalb-MET-5,Pvalb Vipr2
614728680,0.604392274,L5,Pvalb-MET-4,Pvalb Reln Itm2a
623326230,0.292879196,L2/3,Sst-MET-2,Sst Tac1 Tacr3
623415197,0.190213546,L2/3,Pvalb-MET-4,Pvalb Tpbg
623434306,0.231416533,L2/3,Sst-MET-2,Sst Tac1 Htr1d
626153003,0.684141822,L5,Sst-MET-12,Sst Hpse Cbln4
627881581,0.416706237,L4,Sst-MET-8,Sst Hpse Cbln4
637846989,0.13693756,L2/3,Lamp5-MET-1,Lamp5 Lsp1
638212024,0.114190205,L1,,
639004612,0.316463718,L2/3,Vip-MET-1,Vip Igfbp4 Mab21l1
639013022,0.161293406,L2/3,Vip-MET-1,Vip Rspo1 Itga4
639674270,0.767271333,L6,Vip-MET-3,Vip Lmo1 Fam159b
639708328,0.734785746,L5,Sst-MET-12,Sst Esm1
639797308,0.276069697,L2/3,Pvalb-MET-4,Pvalb Tpbg
639809582,0.795389405,L6,Sst-MET-12,Sst Tac2 Myh4
639818525,0.471844918,L4,,
639841063,0.424574033,L4,Sst-MET-8,Sst Hpse Cbln4
639862877,0.512540724,L5,Sst-MET-8,Sst Hpse Cbln4
639881631,0.65165216,L5,Sst-MET-5,Sst Myh8 Etv1
639893239,0.754867394,L6,Sst-MET-12,Sst Mme Fam114a1
639962984,0.329121938,L2/3,Sst-MET-2,Sst Tac1 Htr1d
640061596,0.57701248,L5,Sst-MET-1,Sst Chodl
640111844,0.904508496,L6,Sst-MET-12,Sst Crh 4930553C11Rik
640280740,0.258358999,L2/3,Vip-MET-4,Vip Lect1 Oxtr
642124659,0.287330334,L2/3,Lamp5-MET-1,Lamp5 Lsp1
643021973,0.33288485,L2/3,Vip-MET-4,Vip Crispld2 Kcne4
643536919,0.664109303,L5,Sncg-MET-1,Sncg Vip Nptx2
643702874,0.536422267,L5,,
643727497,0.905900733,L6,Sst-MET-1,Sst Chodl
643754730,0.68893031,L5,Sst-MET-1,Sst Chodl
644571405,0.937069264,L6,Pvalb-MET-2,Pvalb Th Sst
644920227,0.162502178,L2/3,Vip-MET-5,Vip Lect1 Oxtr
644941196,0.100036015,L1,,
644994103,0.638180656,L5,Lamp5-MET-1,Lamp5 Lsp1
645012440,0.717148259,L5,Sst-MET-6,Sst Myh8 Etv1
645057881,0.696407459,L5,Sst-MET-4,Sst Calb2 Necab1
645169930,0.06585063,L1,Lamp5-MET-1,Lamp5 Plch2 Dock5
645322005,0.596607866,L5,Sst-MET-12,Sst Mme Fam114a1
645355846,0.891777938,L6,Pvalb-MET-2,Pvalb Akr1c18 Ntf3
646805498,0.631894442,L5,Pvalb-MET-4,Pvalb Reln Itm2a
646852171,0.473444366,L4,Pvalb-MET-4,Pvalb Reln Itm2a
647045788,0.360018446,L2/3,,
648139266,0.303782701,L2/3,Vip-MET-2,Vip Ptprt Pkp2
648582997,0.088127015,L1,Lamp5-MET-1,Lamp5 Ntn1 Npy2r
649387261,0.650597959,L5,Sst-MET-5,Sst Nr2f2 Necab1
652299236,0.329976998,L2/3,Pvalb-MET-4,Pvalb Tpbg
652300499,0.267492008,L2/3,Lamp5-MET-1,Lamp5 Lsp1
652305423,0.869138366,L6,Lamp5-MET-1,Lamp5 Lsp1
652306478,0.85284093,L6,,
652516963,0.200098593,L2/3,Sncg-MET-2,Sncg Gpr50
652533530,0.749644271,L6,Sst-MET-12,Sst Esm1
652812484,0.207071539,L2/3,Lamp5-MET-1,Lamp5 Plch2 Dock5
652958762,0.497206391,L5,Sst-MET-8,Sst Hpse Cbln4
653327513,0.679350914,L5,Pvalb-MET-2,Pvalb Sema3e Kank4
653699672,0.528398747,L5,Sst-MET-8,Sst Hpse Cbln4
656156755,0.527525009,L5,Sst-MET-8,Sst Hpse Cbln4
656705176,0.162570099,L2/3,Sst-MET-1,Sst Chodl
656706125,0.326207799,L2/3,Pvalb-MET-4,Pvalb Tpbg
656901554,0.525437369,L5,Sst-MET-7,Sst Hpse Sema3c
657184390,0.421973108,L4,Vip-MET-2,Vip Rspo4 Rxfp1 Chat
657185355,0.206368837,L2/3,Vip-MET-2,Vip Rspo4 Rxfp1 Chat
657442490,0.565702444,L5,Sst-MET-7,Sst Hpse Sema3c
657454163,0.492769409,L5,Sst-MET-8,Sst Hpse Cbln4
657661669,0.747872104,L6,Sst-MET-12,Sst Crhr2 Efemp1
657661984,0.488006605,L4,Sst-MET-8,Sst Hpse Cbln4
657675492,0.226365254,L2/3,Sst-MET-3,Sst Calb2 Pdlim5
657857340,0.51172476,L5,Sst-MET-4,Sst Calb2 Necab1
657858349,0.695685602,L5,Sst-MET-6,Sst Myh8 Etv1
657983207,0.760453903,L6,Sst-MET-12,Sst Hpse Cbln4
657984709,0.913711799,L6,Pvalb-MET-2,Pvalb Th Sst
657985196,0.716565914,L5,Sst-MET-12,Sst Rxfp1 Eya1
657999088,0.31479151,L2/3,Sst-MET-3,Sst Calb2 Pdlim5
658012080,0.821604971,L6,Sst-MET-12,Sst Crhr2 Efemp1
658447323,0.248411412,L2/3,Vip-MET-5,Vip Rspo1 Itga4
659012847,0.822048366,L6,Pvalb-MET-2,Pvalb Calb1 Sst
659395808,0.799040799,L6,,
659405820,0.675171553,L5,Sst-MET-12,Sst Crhr2 Efemp1
659405868,0.134995877,L2/3,Sst-MET-1,Sst Chodl
659413418,0.473634174,L4,Sst-MET-12,Sst Hpse Cbln4
659697295,0.190543709,L2/3,Lamp5-MET-1,Lamp5 Lsp1
660050258,0.640867707,L5,Sst-MET-6,Sst Chrna2 Ptgdr
661189529,0.600090987,L5,Sst-MET-9,Sst Tac2 Tacstd2
661318431,0.780293311,L6,Sst-MET-12,Sst Crh 4930553C11Rik
661319074,0.747057925,L6,Sst-MET-9,Sst Tac2 Tacstd2
661422439,0.427906881,L4,Vip-MET-2,Vip Ptprt Pkp2
661492805,0.395531883,L4,Sst-MET-4,Sst Calb2 Pdlim5
662580082,0.876741331,L6,,
663193112,0.629205443,L5,Pvalb-MET-3,Pvalb Gpr149 Islr
666141992,0.342272947,L2/3,Pvalb-MET-4,Pvalb Tpbg
667473785,0.340105022,L2/3,Sst-MET-12,Sst Mme Fam114a1
667492234,0.094763875,L1,Lamp5-MET-1,Lamp5 Lsp1
668176228,0.69222837,L5,Sst-MET-12,Sst Rxfp1 Eya1
668337999,0.370484228,L4,Sst-MET-2,Sst Tac1 Htr1d
668464797,0.234520963,L2/3,Vip-MET-1,Vip Pygm C1ql1
669047778,0.667190183,L5,Sst-MET-12,Sst Crhr2 Efemp1
669072736,0.832686257,L6,Pvalb-MET-1,Pvalb Gabrg1
