neuron_id,morph_status,ephys_status,normalized_soma_depth,layer,m_type,e_type,m_cluster,e_cluster,me_cluster,mol_id,pred_mol_id
20071002B,complete,available,0.032390725,L1,Neurogliaform,Adapt./irreg. spiking,1,7,17,,PV-/SST-/VIP-
20080516A,complete,available,0.082522819,L2/3,Neurogliaform,Adapting,1,6,17,,PV-/SST-/VIP-
20080703C,complete,available,0.038624342,L1,Neurogliaform,Adapt./irreg. spiking,1,6,17,,PV-/SST-/VIP-
20080708A,complete,available,0.045302029,L1,Neurogliaform,Irregular spiking,1,6,17,,PV-/SST-/VIP-
20080717B,complete,available,0.049689032,L1,Neurogliaform,Irregular spiking,1,11,17,,PV-/SST-/VIP-
20080721A,complete,available,0.031664869,L1,Neurogliaform,Irregular spiking,1,11,17,,PV-/SST-/VIP-
20080729A,complete,available,0.033036263,L1,Neurogliaform,Regular spiking,1,6,17,,PV-/SST-/VIP-
20080729C,complete,available,0.051414739,L1,Neurogliaform,Irregular spiking,1,6,17,,PV-/SST-/VIP-
20080902C,complete,available,0.063349745,L1,Neurogliaform,Irregular spiking,1,3,17,,PV-/SST-/VIP-
20080904A,complete,available,0.054074802,L1,Neurogliaform,Adapt./irreg. spiking,1,6,17,,PV-/SST-/VIP-
20010518A,complete,available,0.179418774,L2/3,Large Basket,Regular spiking,2,10,1,,PV+
20010529B,complete,available,0.192248892,L2/3,Large Basket,Adapt./irreg. spiking,2,2,1,,PV+
20010530B,complete,available,0.189125069,L2/3,Bitufted,Irregular spiking,3,2,18,,VIP+
20010626D,complete,available,0.19282551,L2/3,Small Basket,Fast spiking,2,12,1,,PV+
20010710B,complete,available,0.159303024,L2/3,Small Basket,Adapting,5,7,20,,PV-/SST-/VIP-
20010910A,complete,available,0.249325518,L2/3,Large Basket,Fast spiking,2,10,1,,PV+
20010912A,complete,available,0.194486543,L2/3,Bitufted,Irregular spiking,3,4,18,,VIP+
20010918C,complete,available,0.232301962,L2/3,Large Basket,Adapting,11,7,19,,SST+
20010919A,axon_only,available,0.154758477,L2/3,Small Basket,Regular spiking,,7,,,
20010925B,complete,available,0.184475971,L2/3,Neurogliaform,Regular spiking,5,10,20,,PV-/SST-/VIP-
20010926A,complete,available,0.204183243,L2/3,Bitufted,Adapt./irreg. spiking,3,2,18,,VIP+
20011001A,axon_only,available,0.217410997,L2/3,Large Basket,Regular spiking,,10,,,
20011002B,complete,available,0.215108688,L2/3,Neurogliaform,Adapting,5,7,20,,PV-/SST-/VIP-
20011004A,complete,available,0.227549973,L2/3,Bitufted,Adapt./irreg. spiking,4,7,19,,VIP+
20011008A,complete,available,0.224824267,L2/3,Neurogliaform,Regular spiking,5,4,9,,PV-/SST-/VIP-
20011009A,complete,available,0.160251015,L2/3,Large Basket,Irregular spiking,4,7,19,,SST+
20011010A,complete,available,0.212540465,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20011011C,complete,available,0.199106972,L2/3,Large Basket,Regular spiking,5,10,20,,PV-/SST-/VIP-
20011106A,complete,available,0.108621959,L2/3,Bitufted,Adapting,4,7,19,,VIP+
20011108A,axon_only,available,0.143709787,L2/3,Chandelier,Fast spiking,,8,,,
20011109A,complete,available,0.150810545,L2/3,Martinotti,Fast spiking,2,7,1,,PV+
20011109B,complete,available,0.115919671,L2/3,Chandelier,Fast spiking,16,8,7,,PV+
20011113A,complete,available,0.154727273,L2/3,Neurogliaform,Regular spiking,5,7,20,,PV-/SST-/VIP-
20011114A,complete,available,0.180841824,L2/3,Martinotti,Fast spiking,2,7,1,,PV+
20020325B,complete,available,0.111250639,L2/3,Bitufted,Adapt./irreg. spiking,3,5,18,,VIP+
20020326A,complete,available,0.154176635,L2/3,Bitufted,Irregular spiking,3,7,18,,VIP+
20020404A,complete,available,0.094837058,L2/3,Bitufted,Irregular spiking,4,4,9,,SST+
20021125A,complete,available,0.172209092,L2/3,Neurogliaform,Fast spiking,5,7,20,,PV-/SST-/VIP-
20021127A,complete,available,0.192783263,L2/3,Large Basket,Adapting,2,7,1,,PV+
20021128A,complete,available,0.146620873,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20021202A,complete,available,0.223740246,L2/3,Large Basket,Regular spiking,2,7,1,,PV+
20021209A,complete,missing,0.16011426,L2/3,Bitufted,,3,,,,
20021209B,complete,available,0.165050322,L2/3,Bitufted,Adapting,4,7,19,,SST+
20021210A,complete,available,0.124110587,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20030215A,complete,available,0.18375955,L2/3,Large Basket,Adapting,2,6,1,,VIP+
20030221A,complete,available,0.116210914,L2/3,Bitufted,Irregular spiking,3,5,18,,VIP+
20030224A,complete,available,0.159650364,L2/3,Bitufted,Regular spiking,3,7,19,,VIP+
20030224B,complete,available,0.105506695,L2/3,Martinotti,Irregular spiking,3,4,9,,SST+
20030319A,complete,available,0.127391573,L2/3,Large Basket,Fast spiking,2,10,1,,PV+
20030320B,complete,available,0.216311731,L2/3,Small Basket,Fast spiking,2,8,1,,PV+
20030324B,complete,available,0.112844662,L2/3,Martinotti,Fast spiking,2,9,1,,VIP+
20031201A,complete,available,0.147296296,L2/3,Large Basket,Fast spiking,2,10,1,,PV+
20031202A,complete,available,0.183181321,L2/3,Bitufted,Fast spiking,3,10,19,,VIP+
20031202B,complete,available,0.278257089,L2/3,Small Basket,Fast spiking,6,7,2,,VIP+
20031203A,complete,available,0.096686115,L2/3,Large Basket,Fast spiking,4,10,19,,SST+
20031203B,complete,available,0.113407093,L2/3,Bitufted,Irregular spiking,4,4,9,,SST+
20031203C,complete,available,0.150125383,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20031203D,complete,available,0.111837701,L2/3,Bitufted,Adapting,3,7,19,,VIP+
20040212B,complete,available,0.144803632,L2/3,Large Basket,Irregular spiking,3,4,9,,SST+
20040212C,complete,available,0.127751722,L2/3,Martinotti,Fast spiking,2,10,1,,PV+
20040214B,complete,available,0.133067066,L2/3,Small Basket,Fast spiking,3,8,1,,PV+
20031130B,complete,available,0.318736449,L4,Small Basket,Fast spiking,6,8,3,,PV+
20031213A,complete,available,0.378415939,L4,Translaminar,Fast spiking,10,8,21,,PV+
