neuron_id,soma_depth,dendrite_volume,axon_volume,dendrite_vertical_extent,axon_vertical_extent,spike_frequency,spike_frequency_adaptation
20071002B,0.061121297,0.0025,0.014061854,0.096427002,0.126063965,29.47120243,90.51562025
20080516A,0.15572056,0.00625,0.043524787,0.269408997,0.648551293,21.66753337,99.97482404
20080703C,0.072884134,0.0035,0.019083945,0.081303955,0.18205603,27.45860088,0.904802938
20080708A,0.085484929,0.005,0.02879332,0.094108033,0.663993574,38.33145434,47.15729151
20080717B,0.093763203,0.00425,0.043859593,0.179171997,0.682594086,40.00758038,88.25684194
20080721A,0.059751609,0.0045,0.013727048,0.13415802,0.204561981,25.8994669,70.25432445
20080729A,0.062339429,0.00675,0.042520369,0.237282959,0.338629028,20.4624514,-3.175346216
20080729C,0.097019612,0.003,0.026114872,0.087153015,0.181458008,34.49762829,8.151504552
20080902C,0.119540968,0.004,0.020757975,0.15209198,0.474394974,24.04837158,53.21687106
20080904A,0.102039151,0.00475,0.021762393,0.18982898,0.349645965,32.1888412,68.66387525
20010518A,0.338563226,0.012,0.04151595,0.49859,0.53273,46.53636485,-2.34349022
20010529B,0.362773659,0.009,0.044194399,0.31345,1.29913,24.0880015,71.22391391
20010530B,0.356879006,0.005,0.010713794,0.49627,0.83505,16.17904813,99.9999971
20010626D,0.363861737,0.00775,0.021092781,0.36344,0.65962,64.43432895,15.24348178
20010710B,0.300604806,0.00275,0.026449678,0.15425,0.87583,31.61688763,68.16585211
20010910A,0.470477252,0.004,0.03984192,0.21281,1.184,98.67609572,7.630836071
20010912A,0.366996106,0.0075,0.010378988,0.54194,0.53632,34.22313484,100
20010918C,0.438353802,0.01375,0.089393216,0.55258383,0.934562,46.51915376,45.82206233
20010919A,0.292029245,,0.022766812,,0.6774398,35.51952529,37.97011831
20010925B,0.348106157,0.003,0.019418751,0.16824,0.49514,19.86754967,3.819801259
20010926A,0.38529378,0.008,0.022097199,0.4954198,0.83231,42.24261341,99.99996858
20011001A,0.410254552,,0.027454096,,0.5570998,27.43368434,6.454616239
20011002B,0.405910093,0.00375,0.019418751,0.16381,0.63027,37.16167393,76.90803239
20011004A,0.429386799,0.0085,0.029797739,0.48183,1.05046,32.87446065,49.70548124
20011008A,0.424243392,0.004,0.02544526,0.23858,0.4971399,19.82897509,-15.59703007
20011009A,0.302393665,0.0065,0.062943538,0.50026,1.22579,19.39906022,99.99999999
20011010A,0.401063858,0.006,0.014061854,0.60969,0.57794,46.80751473,66.99039711
20011011C,0.375714856,0.004,0.030132545,0.19866,0.72884,32.63210564,0.312361919
20011106A,0.204969636,0.007,0.025780066,0.19419,0.66148,36.10645031,79.69701264
20011108A,0.271180367,,0.029462933,,0.66568971,73.68421053,10.46134471
20011109A,0.284579498,0.008,0.033145799,0.396427,0.6607582,62.87522311,54.8393642
20011109B,0.218740418,0.00675,0.026114872,0.3566,0.5448661,144.8867066,13.77707226
20011113A,0.291970364,0.0025,0.021427587,0.13435,0.4945203,38.65166711,29.21789378
20011114A,0.341248521,0.0125,0.040846338,0.6146694,0.6509761,54.81676987,84.07885131
20020325B,0.209929955,0.007,0.029462933,0.376716,1.062748,22.77696793,99.9995745
20020326A,0.290931311,0.00625,0.016070691,0.482243,0.6490031,34.0867935,99.99909744
20020404A,0.178957528,0.0075,0.041181144,0.469096,1.264098,21.31287298,99.99999898
20021125A,0.324958557,0.003,0.028123708,0.16202,0.64761,55.23279601,42.80064162
20021127A,0.363782017,0.011,0.043189981,0.534988,0.837944,43.20543154,83.10755987
20021128A,0.276673587,0.00625,0.011383406,0.457775,0.470507,49.31918087,93.45106014
20021202A,0.422197844,0.00775,0.051894938,0.40149,0.962954,53.44506916,59.45393517
20021209A,0.302135608,0.0065,0.014061854,0.45511,0.46713,,
20021209B,0.311449958,0.009,0.053568968,0.47556,1.21033,32.99717462,70.97816875
20021210A,0.234196678,0.00825,0.035824248,0.458165,0.777632,17.06739488,99.9999598
20030215A,0.346754271,0.01225,0.031136963,0.544,0.5802,20.95645249,100
20030221A,0.219289994,0.0045,0.015735884,0.34842,0.60838,19.9924473,100
20030224A,0.301260238,0.00575,0.011718212,0.37913,0.42418,37.141737,9.594304642
20030224B,0.199091134,0.00575,0.031806575,0.305654,0.600634,17.18213058,99.99999955
20030319A,0.240387897,0.00875,0.046872847,0.43517,1.12787,59.66832641,-10.87983057
