depth,mean,ci_95
0,4.24591769,1.227888696
0.05,18.44095853,2.383515973
0.1,20.29025862,1.701121573
0.15,40.41696322,2.774949662
0.2,68.43305172,4.518950911
0.25,72.75107586,6.230281123
0.3,71.91566897,7.128354256
0.35,63.43240954,7.968972459
0.4,47.35380115,5.106512057
0.45,36.3942,4.557197005
0.5,42.51918736,5.733066607
0.55,50.61452529,5.844587378
0.6,50.62574483,6.902551449
0.65,76.24234138,10.67239687
0.7,103.7188264,13.25982743
0.75,133.4341828,20.66926059
0.8,146.7485494,22.69672269
0.85,124.4256276,16.94653811
0.9,108.8368724,13.10603652
0.95,95.49886782,9.69239262
1,87.62979195,8.376902205
1.05,79.96799655,9.487947289
1.1,69.20286782,8.389515003
1.15,60.65294713,5.753599618
1.2,60.51899195,5.989685502
1.25,62.19195747,6.823611934
1.3,57.35257011,6.01464589
1.35,55.57558161,5.158677482
1.4,55.1436046,5.62300588
1.45,50.01874713,4.810194983
1.5,45.78357586,4.350509604
1.55,44.86595368,5.190061475
1.6,41.47500952,5.508986712
1.65,37.37381195,4.256239298
1.7,37.52508986,4.553048781
1.75,33.34804164,5.569524283
1.8,31.18031695,5.571510162
1.85,29.1474388,5.839555108
1.9,29.69403128,6.355853029
1.95,30.52490484,6.959269985
2,24.7518108,7.270509067
